Profile URL,Platform,Reason
https://www.behance.net/kubenests,Behance,Irrelevant - design portfolio site
https://500px.com/p/kubenestsustainabilitysoftware,500px,Irrelevant - photography site
https://penzu.com/p/24363bddbd68ad72,Penzu,Low value - notepad site
https://www.investagrams.com/Profile/kubene3293021,Investagrams,Irrelevant - stock trading site
https://bandori.party/user/359911/kubenestsustainabilityplatform/,Bandori Party,Irrelevant - anime game fan site
https://seedly.sg/profile/kubenest/,Seedly,Irrelevant - finance/Singapore
https://discord.com/channels/689265414714163208/700115539695108141,Discord,Low value - not crawled by search engines
https://unsplash.com/@kubenestsustainabilityplatform,Unsplash,Irrelevant - stock photo site
https://au.blurb.com/user/kubenest,Blurb,Irrelevant - book publishing
https://doodleordie.com/profile/kubenestsustainabilityplatform,Doodle or Die,Irrelevant - drawing game
https://shoplook.io/profile/kubenestsustainabilityplatform,ShopLook,Irrelevant - fashion lookbook
https://www.deviantart.com/kubenest/art/KubeNest-All-in-one-Sustainability-Data-Managemen-1275491134,DeviantArt,Irrelevant - art community
https://www.goodreads.com/user/show/196230687-kubenest,Goodreads,Irrelevant - book reviews
https://www.wantedly.com/id/kubenest,Wantedly,Irrelevant - Japanese careers
https://hostndobezi.com/1766034510124231_26405,Hostndobezi,Low value - unknown social
https://vhearts.net/KubeNest,Vhearts,Low value - unknown social
https://afrobook.co/1766035985270117_4109,Afrobook,Low value - unknown social
https://www.globalfreetalk.com/kubenestsustainabilityplatform,GlobalFreeTalk,Low value - unknown social
https://www.4shared.com/u/TBHSZNML/infokubenestcom.html,4shared,Irrelevant - file sharing
https://soundcloud.com/kubenest,SoundCloud,Irrelevant - music streaming
https://www.mixcloud.com/KubeNest/,Mixcloud,Irrelevant - music streaming
https://bandcamp.com/kubenest,Bandcamp,Irrelevant - music platform
https://www.kickstarter.com/profile/2110295465/about,Kickstarter,Irrelevant - crowdfunding
https://www.pexels.com/@kubenest-sustainability-data-management-platform-2158912333/,Pexels,Irrelevant - stock photography
https://www.discogs.com/user/kubenest,Discogs,Irrelevant - music database
https://genius.com/kubenest,Genius,Irrelevant - song lyrics
https://codepen.io/kubenest,CodePen,Irrelevant - code playground
https://coolors.co/u/kubenest,Coolors,Irrelevant - color palette tool
https://ko-fi.com/kubenest,Ko-fi,Irrelevant - tip jar/donations
https://ficwad.com/a/kubenest,FicWad,Irrelevant - fan fiction
https://ekcochat.com/kubenest,EkkoChat,Low value - unknown social
https://review.stylevore.com/kubenest-all-in-one-sustainability-data-management-platform/,Stylevore,Low value - review site
https://phatwalletforums.com/user/kubenest,PhatWallet,Low value - deal forums
https://www.manystories.com/@info_kubenest_com_au,ManyStories,Low value - generic stories
https://pixabay.com/users/54220271/,Pixabay,Irrelevant - stock photo site
https://www.bandlab.com/kubenest,BandLab,Irrelevant - music production
https://www.notebook.ai/users/1248955,Notebook.ai,Irrelevant - fiction writing
https://www.aicrowd.com/participants/kubenest,AICrowd,Irrelevant - AI research
https://cloutapps.com/kubenest,CloutApps,Low value - unknown social
https://community.m5stack.com/user/kubenest,M5Stack,Low value - electronics forum
https://www.sbnation.com/users/t3pS5HFO0M/kubenest,SBNation,Irrelevant - sports blog
